algorithm,csv_path,rank,original_row_index,n_particles,final_output_file,final_particles,reevaluated_transmission,reevaluated_transmission_percent,training_particles,training_transmission,training_transmission_percent,training_reward,valid,error,watchpoint_trace
SAC,big_beamline_Orig.csv,1,117346,100000,final_WP,58149,0.58149,58.148999999999994,617.0,0.617,61.7,0.617,True,,WQ1L0_1:100000 -> WQ1L1_1:100000 -> WBM1_1:99949 -> WQ1L2_1_1:72749 -> WBM2_1:59435 -> WQ1L3_1_1:59434 -> WQ1L4_1_1:59010 -> WQ1L3_2_1:58536 -> WBM3_1:58458 -> WQ1L2_2_1:58458 -> WBM4_1:58458 -> WQ1L7_1:58455 -> WQ1L4_2_1:58455 -> WQ1L9_1:58149 -> WQ1L10_1:58149 -> final_WP:58149
SAC,big_beamline_Orig.csv,2,113831,100000,final_WP,57933,0.57933,57.933,617.0,0.617,61.7,0.617,True,,WQ1L0_1:100000 -> WQ1L1_1:100000 -> WBM1_1:99947 -> WQ1L2_1_1:72615 -> WBM2_1:59559 -> WQ1L3_1_1:59559 -> WQ1L4_1_1:59017 -> WQ1L3_2_1:58463 -> WBM3_1:58359 -> WQ1L2_2_1:58359 -> WBM4_1:58359 -> WQ1L7_1:58359 -> WQ1L4_2_1:58359 -> WQ1L9_1:57937 -> WQ1L10_1:57937 -> final_WP:57933
SAC,big_beamline_Orig.csv,3,118405,100000,final_WP,58026,0.58026,58.025999999999996,617.0,0.617,61.7,0.617,True,,WQ1L0_1:100000 -> WQ1L1_1:100000 -> WBM1_1:99944 -> WQ1L2_1_1:72645 -> WBM2_1:59493 -> WQ1L3_1_1:59492 -> WQ1L4_1_1:58932 -> WQ1L3_2_1:58328 -> WBM3_1:58306 -> WQ1L2_2_1:58306 -> WBM4_1:58306 -> WQ1L7_1:58306 -> WQ1L4_2_1:58306 -> WQ1L9_1:58026 -> WQ1L10_1:58026 -> final_WP:58026
SAC,big_beamline_Orig.csv,4,128361,100000,final_WP,58548,0.58548,58.548,617.0,0.617,61.7,0.617,True,,WQ1L0_1:100000 -> WQ1L1_1:100000 -> WBM1_1:99922 -> WQ1L2_1_1:73185 -> WBM2_1:59365 -> WQ1L3_1_1:59365 -> WQ1L4_1_1:59077 -> WQ1L3_2_1:58783 -> WBM3_1:58728 -> WQ1L2_2_1:58727 -> WBM4_1:58727 -> WQ1L7_1:58727 -> WQ1L4_2_1:58727 -> WQ1L9_1:58548 -> WQ1L10_1:58548 -> final_WP:58548
SAC,big_beamline_Orig.csv,5,126799,100000,final_WP,58063,0.58063,58.062999999999995,617.0,0.617,61.7,0.617,True,,WQ1L0_1:100000 -> WQ1L1_1:100000 -> WBM1_1:99934 -> WQ1L2_1_1:72573 -> WBM2_1:59444 -> WQ1L3_1_1:59442 -> WQ1L4_1_1:58937 -> WQ1L3_2_1:58386 -> WBM3_1:58335 -> WQ1L2_2_1:58334 -> WBM4_1:58334 -> WQ1L7_1:58333 -> WQ1L4_2_1:58333 -> WQ1L9_1:58063 -> WQ1L10_1:58063 -> final_WP:58063
PPO,big_beamline_Orig_ppo.csv,1,87956,100000,final_WP,49730,0.4973,49.730000000000004,504.0,0.504,50.4,0.5030019801980198,True,,WQ1L0_1:100000 -> WQ1L1_1:100000 -> WBM1_1:100000 -> WQ1L2_1_1:74105 -> WBM2_1:54222 -> WQ1L3_1_1:51662 -> WQ1L4_1_1:51662 -> WQ1L3_2_1:51645 -> WBM3_1:51047 -> WQ1L2_2_1:51040 -> WBM4_1:51025 -> WQ1L7_1:51025 -> WQ1L4_2_1:51025 -> WQ1L9_1:50154 -> WQ1L10_1:50154 -> final_WP:49730
PPO,big_beamline_Orig_ppo.csv,2,64303,100000,final_WP,49799,0.49799,49.799,503.0,0.503,50.3,0.5010079207920792,True,,WQ1L0_1:100000 -> WQ1L1_1:100000 -> WBM1_1:100000 -> WQ1L2_1_1:74116 -> WBM2_1:54168 -> WQ1L3_1_1:51661 -> WQ1L4_1_1:51661 -> WQ1L3_2_1:51646 -> WBM3_1:51011 -> WQ1L2_2_1:51003 -> WBM4_1:50994 -> WQ1L7_1:50994 -> WQ1L4_2_1:50994 -> WQ1L9_1:50223 -> WQ1L10_1:50223 -> final_WP:49799
PPO,big_beamline_Orig_ppo.csv,3,91423,100000,final_WP,49643,0.49643,49.643,503.0,0.503,50.3,0.5010079207920792,True,,WQ1L0_1:100000 -> WQ1L1_1:100000 -> WBM1_1:100000 -> WQ1L2_1_1:74103 -> WBM2_1:54269 -> WQ1L3_1_1:51765 -> WQ1L4_1_1:51765 -> WQ1L3_2_1:51747 -> WBM3_1:51148 -> WQ1L2_2_1:51141 -> WBM4_1:51124 -> WQ1L7_1:51124 -> WQ1L4_2_1:51124 -> WQ1L9_1:50082 -> WQ1L10_1:50082 -> final_WP:49643
PPO,big_beamline_Orig_ppo.csv,4,92629,100000,final_WP,49750,0.4975,49.75,503.0,0.503,50.3,0.5010079207920792,True,,WQ1L0_1:100000 -> WQ1L1_1:100000 -> WBM1_1:100000 -> WQ1L2_1_1:74104 -> WBM2_1:54289 -> WQ1L3_1_1:51783 -> WQ1L4_1_1:51783 -> WQ1L3_2_1:51758 -> WBM3_1:51088 -> WQ1L2_2_1:51078 -> WBM4_1:51053 -> WQ1L7_1:51053 -> WQ1L4_2_1:51053 -> WQ1L9_1:50200 -> WQ1L10_1:50200 -> final_WP:49750
PPO,big_beamline_Orig_ppo.csv,5,90553,100000,final_WP,49770,0.4977,49.769999999999996,503.0,0.503,50.3,0.5020019841269842,True,,WQ1L0_1:100000 -> WQ1L1_1:100000 -> WBM1_1:100000 -> WQ1L2_1_1:74105 -> WBM2_1:54175 -> WQ1L3_1_1:51592 -> WQ1L4_1_1:51592 -> WQ1L3_2_1:51577 -> WBM3_1:50994 -> WQ1L2_2_1:50988 -> WBM4_1:50977 -> WQ1L7_1:50977 -> WQ1L4_2_1:50977 -> WQ1L9_1:50163 -> WQ1L10_1:50163 -> final_WP:49770
